name,loc,par,if,switch,for,while,token,risk level
Sizzle.filter,60,4,13,0,2,1,363,high risk
makeArray,178,1,99,1,26,9,1077,high risk
(anonymous),44,3,11,0,0,0,344,high risk
(anonymous),47,2,7,0,1,1,426,high risk
remove,65,3,13,0,4,1,468,high risk
trigger,51,4,11,0,1,0,407,high risk
fix,35,1,8,0,1,0,352,high risk
onreadystatechange,43,1,10,0,0,0,258,high risk
handleRequest,90,1,10,0,0,0,622,high risk
_calcSteps,97,2,14,1,4,0,677,high risk
commitValue,56,3,10,1,1,0,342,high risk
updateScrollbars,47,2,9,0,0,0,483,high risk
updateDisplayIfNeeded,47,2,11,0,0,0,480,high risk
skipAtomic,46,4,13,0,1,0,404,high risk
endOperation_finish,39,1,16,0,0,0,518,high risk
regChange,58,4,12,0,0,0,489,high risk
readInput,68,1,15,0,2,1,860,high risk
onScrollWheel,43,2,13,0,1,0,462,high risk
indentLine,50,4,13,0,2,0,499,high risk
findPosH,31,5,12,0,1,0,290,high risk
TextMarker.prototype.clear,40,0,16,0,1,0,435,high risk
markText,45,5,22,0,1,0,511,high risk
stretchSpansOverChange,49,2,15,0,4,0,524,high risk
buildToken,49,6,12,0,0,1,478,high risk
insertLineContent,56,3,17,0,3,1,653,high risk
(anonymous),43,0,8,0,1,0,584,high risk
getPixelValue,46,3,8,0,0,0,363,high risk
Sizzle,55,4,11,0,0,0,413,high risk
],30,1,6,0,3,0,346,high risk
scanForBracket,27,5,13,0,4,0,357,high risk
init,57,3,9,0,1,0,408,high risk
jQuery.fn.extend,42,0,7,0,2,0,272,high risk
Sizzle,78,4,15,0,0,1,538,high risk
Sizzle.setDocument,49,1,22,0,0,5,362,high risk
(anonymous),52,3,11,0,0,4,458,high risk
(anonymous),60,4,9,0,0,3,397,high risk
superMatcher,65,5,13,0,1,3,389,high risk
remove,52,5,8,0,1,2,449,high risk
filter,15,2,2,0,0,0,184,high risk
style,34,4,8,0,0,0,311,high risk
defaultPrefilter,72,3,17,0,3,0,490,high risk
_preProcessRecords,113,1,11,0,8,0,958,high risk
init,60,3,10,0,1,0,429,high risk
jQuery.fn.extend,42,0,7,0,2,0,272,high risk
Sizzle,78,4,15,0,0,1,538,high risk
Sizzle.setDocument,52,1,22,0,0,5,385,high risk
(anonymous),52,3,11,0,0,4,458,high risk
(anonymous),60,4,9,0,0,3,397,high risk
superMatcher,65,5,13,0,1,3,389,high risk
internalData,49,4,12,0,0,0,336,high risk
remove,53,5,8,0,1,2,449,high risk
filter,19,2,3,0,0,0,217,high risk
domManip,52,3,10,0,2,0,402,high risk
buildFragment,76,4,11,0,1,5,575,high risk
style,36,4,8,0,0,0,320,high risk
done,69,4,14,0,0,0,418,high risk
ajaxConvert,58,4,11,0,2,1,384,high risk
defaultPrefilter,74,3,18,0,3,0,506,high risk
whois,56,1,11,1,2,0,557,high risk
Tooltip.prototype.show,50,0,5,0,0,0,471,high risk
AlgoliaSearch,69,5,13,0,1,0,491,high risk
(anonymous),55,2,7,0,7,0,473,high risk
str,72,2,9,1,3,0,445,high risk
ellipsisElement,74,5,9,0,0,1,449,high risk
$.effects.effect.bounce,59,2,7,0,1,0,473,high risk
str_format.format,48,2,4,1,2,0,569,high risk
(anonymous),99,1,27,0,7,0,749,high risk
eq,60,4,15,1,2,2,491,high risk
parse_section,115,0,19,0,0,2,663,high risk
parse_params,133,0,25,0,0,3,720,high risk
parse_bodies,115,0,21,0,0,1,644,high risk
parse_partial,120,0,22,0,0,2,659,high risk
parse_path,89,0,19,0,0,2,480,high risk
parse_array,93,0,18,0,0,1,546,high risk
parse_array_part,97,0,18,0,0,1,548,high risk
parse_inline,146,0,30,0,0,1,772,high risk
parse_buffer,189,0,31,0,0,2,996,high risk
parse_literal,107,0,20,0,0,1,591,high risk
parse_comment,148,0,28,0,0,1,806,high risk
parse_tag,174,0,25,0,0,4,869,high risk
(anonymous),93,1,15,1,0,0,647,high risk
searchAdjacentTextNode,54,4,10,0,0,1,377,high risk
searchWordBoundary,80,3,15,0,0,2,494,high risk
EditAreaLoader,121,0,14,0,1,0,1153,high risk
prettyDate,18,1,5,0,0,0,194,high risk
str,72,2,9,1,3,0,445,high risk
doOK,95,0,16,0,3,1,507,high risk
parseUrl,25,1,1,0,0,0,194,high risk
$.mobile.loadPage,69,2,24,0,0,0,539,high risk
$.mobile.changePage,99,2,18,0,0,0,765,high risk
(anonymous),44,0,4,0,0,0,351,high risk
el.jqmData,99,1,17,0,0,1,654,high risk
refresh,126,1,14,0,2,0,935,high risk
supportBlacklist,22,0,1,0,0,0,225,high risk
this.parse_start,110,0,0,1,0,0,369,high risk
match,75,1,10,0,3,0,504,high risk
(anonymous),52,5,8,0,1,0,417,high risk
